Title :  PageRank
    web_site  pagerank
520      717  0.000614
521      724  0.000614
522      674  0.000614
523      292  0.000614
524      666  0.000614
525      263  0.000614
526      773  0.000614
527      659  0.000614
528      183  0.000614
529      428  0.000614
530      439  0.000614
531      194  0.000614
532      625  0.000614
533      692  0.000614
534      117  0.000614
535      116  0.000614
536      590  0.000614
537      585  0.000614
538       83  0.000614
539      940  0.000614
540      866  0.000614
541      897  0.000614
542      918  0.000614
543      946  0.000614
544     1000  0.000614
545      685  0.000614
546      262  0.000612
547      746  0.000612
548      250  0.000612
549      535  0.000612
550      521  0.000612
551      698  0.000612
552       30  0.000612
553       86  0.000611
554      338  0.000611
555      671  0.000597
556      880  0.000597
557      448  0.000595
558      568  0.000595
559      312  0.000595
560      224  0.000594
561      158  0.000593
562       89  0.000593
563      989  0.000593
564      915  0.000587
565      727  0.000584
566      758  0.000583
567      974  0.000583
568      874  0.000580
569        6  0.000580
570      146  0.000580
571      982  0.000580
572       27  0.000580
573       45  0.000580
574      937  0.000580
575      942  0.000580
576       61  0.000580
577       31  0.000580
578      314  0.000580
579      324  0.000580
580      764  0.000580
581      652  0.000580
582      654  0.000580
583      345  0.000580
584      501  0.000580
585      411  0.000580
586      527  0.000580
587      102  0.000580
588      349  0.000576
589      952  0.000573
590      283  0.000573
591      602  0.000573
592       15  0.000571
593       91  0.000569
594      695  0.000569
595      461  0.000569
596      885  0.000569
597      931  0.000569
598      722  0.000567
599      230  0.000567
600      109  0.000565
601      484  0.000565
602      301  0.000564
603      563  0.000564
604      207  0.000562
605      558  0.000561
606      565  0.000561
607      938  0.000561
608      575  0.000561
609      111  0.000559
610      833  0.000559
611      460  0.000559
612      778  0.000559
613      972  0.000557
614      203  0.000554
615      902  0.000554
616      161  0.000554
617      510  0.000554
618      984  0.000554
619      694  0.000554
620       96  0.000554
621      383  0.000554
622      177  0.000544
623      861  0.000544
624      715  0.000542
625      765  0.000540
626      331  0.000540
627      421  0.000540
628      941  0.000540
629      848  0.000540
630      818  0.000540
631      970  0.000535
632      886  0.000535
633      645  0.000535
634      796  0.000530
635      121  0.000526
636      336  0.000526
637      217  0.000526
638      561  0.000526
639      865  0.000526
640      581  0.000526
641      733  0.000526
642      756  0.000526
643      286  0.000526
644      320  0.000526
645      344  0.000526
646      323  0.000522
647      536  0.000520
648      412  0.000520
649      355  0.000520
650      366  0.000520
651      785  0.000520
652      853  0.000520
653      629  0.000520
654      100  0.000517
655      688  0.000517
656      788  0.000517
657      163  0.000517
658      199  0.000517
659      831  0.000517
660      441  0.000517
661      246  0.000517
662      452  0.000516
663      697  0.000516
664      905  0.000515
665      165  0.000514
666      462  0.000513
667      125  0.000511
668      603  0.000511
669      255  0.000510
670       98  0.000510
671      489  0.000510
672      617  0.000510
673      841  0.000510
674      373  0.000510
675      305  0.000510
676      243  0.000510
677       94  0.000510
678      576  0.000510
679       76  0.000509
680      532  0.000509
681       12  0.000507
682      643  0.000505
683      826  0.000505
684      495  0.000505
685      802  0.000503
686      244  0.000503
687      108  0.000500
688      446  0.000500
689       77  0.000500
690      196  0.000500
691      118  0.000500
692      210  0.000500
693      249  0.000500
694      453  0.000500
695      377  0.000500
696      644  0.000500
697      920  0.000500
698      661  0.000500
699      809  0.000500
700      899  0.000497
701      242  0.000497
702      927  0.000497
703       26  0.000497
704       63  0.000495
705      499  0.000495
706      806  0.000495
707      467  0.000495
708      363  0.000495
709      367  0.000495
710      360  0.000495
711      961  0.000495
712      572  0.000491
713      680  0.000491
714      389  0.000489
715      636  0.000489
716      513  0.000489
717      828  0.000489
718      303  0.000489
719      566  0.000489
720       47  0.000489
721       37  0.000489
722      281  0.000489
723      228  0.000489
724      457  0.000489
725      503  0.000489
726      524  0.000489
727      556  0.000489
728       23  0.000489
729      713  0.000489
730      470  0.000489
731      658  0.000488
732       71  0.000488
733      642  0.000488
734      105  0.000488
735      289  0.000488
736      437  0.000488
737       18  0.000487
738      483  0.000487
739      960  0.000487
740      500  0.000487
741      502  0.000487
742      824  0.000487
743      143  0.000484
744      184  0.000484
745      115  0.000484
746      179  0.000484
747      528  0.000484
748      192  0.000484
749      869  0.000484
750      878  0.000484
751       49  0.000474
752      584  0.000474
753      134  0.000474
754       51  0.000474
755      856  0.000469
756      560  0.000465
757      223  0.000465
758      596  0.000461
759      277  0.000461
760      971  0.000457
761      364  0.000457
762      400  0.000457
763      699  0.000457
764      126  0.000457
765      329  0.000457
766      736  0.000457
767       10  0.000457
768      170  0.000451
769      293  0.000451
770      153  0.000451
771      346  0.000451
772      574  0.000451
773      913  0.000448
774      829  0.000448
775      276  0.000441
776      710  0.000441
777      593  0.000438
778      176  0.000438
779      471  0.000438
780      657  0.000437
781      761  0.000437
782      623  0.000437
783      583  0.000430
784      477  0.000430
785      219  0.000430
786      819  0.000430
787      465  0.000430
788      256  0.000430
789      261  0.000430
790      655  0.000430
791      750  0.000430
792      299  0.000430
793      288  0.000430
794      419  0.000430
795       57  0.000430
796      784  0.000430
797      676  0.000430
798       25  0.000430
799      374  0.000430
800      343  0.000430
801      447  0.000430
802      662  0.000430
803      127  0.000428
804      608  0.000428
805      898  0.000428
806      995  0.000428
807      664  0.000428
808      998  0.000424
809      537  0.000424
810      965  0.000418
811      903  0.000418
812      185  0.000416
813      353  0.000416
814      313  0.000416
815      304  0.000415
816      140  0.000415
817      195  0.000411
818      844  0.000409
819       56  0.000407
820      247  0.000407
821      794  0.000405
822      264  0.000405
823      820  0.000405
824      690  0.000405
825      963  0.000405
826       60  0.000405
827      516  0.000402
828      919  0.000402
829      977  0.000401
830      994  0.000401
831      295  0.000401
832      793  0.000401
833      842  0.000401
834      551  0.000401
835      884  0.000401
836      817  0.000401
837      416  0.000401
838      101  0.000401
839      814  0.000401
840      481  0.000401
841      222  0.000401
842      386  0.000400
843      385  0.000398
844       82  0.000396
845      520  0.000395
846      166  0.000394
847      945  0.000394
848      612  0.000390
849      627  0.000390
850      136  0.000387
851      236  0.000383
852      656  0.000380
853      668  0.000380
854      357  0.000379
855       13  0.000378
856      605  0.000378
857      384  0.000378
858      154  0.000378
859      647  0.000378
860      618  0.000378
861      726  0.000378
862      316  0.000378
863      939  0.000378
864      935  0.000378
865      496  0.000375
866      257  0.000370
867      191  0.000369
868       19  0.000368
869      981  0.000368
870      597  0.000368
871      923  0.000368
872       55  0.000367
873      541  0.000367
874      235  0.000367
875      799  0.000367
876      755  0.000367
877      548  0.000362
878      743  0.000362
879      272  0.000362
880      959  0.000362
881      783  0.000362
882      171  0.000362
883      777  0.000362
884       36  0.000362
885      160  0.000358
886      498  0.000358
887      371  0.000357
888      104  0.000357
889      540  0.000357
890      900  0.000357
891      827  0.000357
892      651  0.000357
893      792  0.000357
894      588  0.000357
895      202  0.000354
896      361  0.000350
897      151  0.000350
898      449  0.000347
899      237  0.000347
900      107  0.000347
901      988  0.000344
902      422  0.000344
903      298  0.000344
904      742  0.000344
905      641  0.000344
906      648  0.000344
907      309  0.000328
908      832  0.000328
909      775  0.000328
910      487  0.000328
911      395  0.000328
912      368  0.000328
913      855  0.000327
914       65  0.000322
915      771  0.000320
916      407  0.000315
917      187  0.000312
918      638  0.000312
919      315  0.000312
920      426  0.000306
921       39  0.000304
922      741  0.000299
923      119  0.000299
924       41  0.000299
925      148  0.000299
926      212  0.000291
927      405  0.000289
928      725  0.000288
929      216  0.000288
930      579  0.000288
931      800  0.000285
932      924  0.000284
933       80  0.000284
934      317  0.000284
935      734  0.000278
936      789  0.000278
937      430  0.000273
938      260  0.000262
939      330  0.000240
940      858  0.000226
941      417  0.000226
942      649  0.000226
943      569  0.000226
944      808  0.000226
945      339  0.000226
946      505  0.000226
947      229  0.000226
948      240  0.000226
949      730  0.000223
950      533  0.000223
951      531  0.000223
952      201  0.000223
953      497  0.000223
954      200  0.000223
955       22  0.000223
956      342  0.000223
957      633  0.000223
958      406  0.000223
959      132  0.000223
960      990  0.000223
961      401  0.000223
962      365  0.000223
963      475  0.000223
964      857  0.000223
965      996  0.000223
966      679  0.000223
967      113  0.000223
968      159  0.000223
969      969  0.000223
970      782  0.000223
971       88  0.000223
972      254  0.000223
973      523  0.000223
974      936  0.000223
975      152  0.000223
976      744  0.000223
977       92  0.000223
978      226  0.000223
979      737  0.000223
980      275  0.000223
981       69  0.000223
982      813  0.000223
983      218  0.000223
984      762  0.000223
985      904  0.000223
986       33  0.000223
987      445  0.000223
988      549  0.000220
989      245  0.000220
990      587  0.000220
991       74  0.000220
992      845  0.000215
993      890  0.000209
994      968  0.000209
995      978  0.000209
996      208  0.000209
997      173  0.000202
998      607  0.000187
999      459  0.000180
